player	round	third strikes	total games
rinka	0.37	18	49
Lanvin	0.33	721	2193
pianoblook	0.32	356	1126
IAMJEFF	0.31	228	724
Kyle	0.3	519	1713
kimbifille	0.3	324	1075
nitawa	0.28	123	437
Dr_Kakashi	0.28	331	1183
Bot-Fiora	0.28	95	336
Lel0uch	0.27	316	1166
VerySloppyTwo	0.27	89	325
sjdrodge	0.26	156	589
Fireheart	0.26	199	759
Floriman	0.25	201	797
Zamiel	0.24	377	1596
eliclax	0.24	92	383
melwen	0.24	456	1905
sin_faith	0.24	201	827
ADrone	0.23	75	330
Nitrate	0.23	81	354
micerang	0.23	201	859
Valetta6789	0.23	123	545
Libster	0.23	162	713
indego	0.22	229	1063
timotree	0.22	133	607
asaelr	0.22	198	892
Pablo-	0.21	135	638
florrat2	0.21	93	453
padi	0.21	54	256
MarkusKahlsen	0.21	178	858
RaKXeR	0.2	116	576
scharkbite	0.2	395	2020
piper	0.14	64	465
