Player1	Player2	Total	Terminated	%
Dr_Kakashi	kimbifille	2601	2143	82%
Fireheart	IAMJEFF	1698	1382	81%
IAMJEFF	Zamiel	118	88	75%
Valetta6789	Zamiel	128	95	74%
Fireheart	Zamiel	237	171	72%
florrat2	Zamiel	119	83	70%
Dr_Kakashi	IAMJEFF	765	539	70%
Fireheart	Kyle	120	84	70%
DMoney	Dr_Kakashi	191	131	69%
asaelr	IAMJEFF	219	152	69%
Dr_Kakashi	Fireheart	114	77	68%
indego	Lel0uch	2798	1852	66%
IAMJEFF	Valetta6789	469	304	65%
Fireheart	Valetta6789	1828	1100	60%
Kyle	Lanvin	127	75	59%
asaelr	Lanvin	123	73	59%
asaelr	Fireheart	146	85	58%
IAMJEFF	kimbifille	190	110	58%
Lel0uch	melwen	2389	1363	57%
Fireheart	kimbifille	218	122	56%
Lanvin	MarkusKahlsen	264	140	53%
nitawa	Pablo-	1700	857	50%
Lanvin	Valetta6789	437	188	43%
ADrone	pianoblook	972	401	41%
kimbifille	Valetta6789	257	106	41%
kimbifille	piper	115	46	40%
Lel0uch	timotree	176	60	34%
Lel0uch	MarkusKahlsen	447	128	29%
melwen	timotree	172	30	17%
melwen	scharkbite	104	14	13%
