Players	Avg eff	Num of games
Dr_Kakashi, Fireheart, IAMJEFF, kopen, micerang	3.0	1
Lanvin, MangoPie, robense, will.i.am	2.78	1
Dr_Kakashi, Floriman, IAMGUESSING, MasN, sin_faith	2.22	1
asaelr, James, kopen, Kyle, micerang	2.22	1
avanderwalde, derekcheah, ejwu, piper, rkass	2.22	1
aprairie, Forte, silentwatcher, sjdrodge	2.11	3
4head, ace201, MarkusKahlsen	2.08	1
Dr_Kakashi, Floriman, kimbifille, scharkbite, Valetta6789	2.08	1
Dr_Kakashi, HelanaAshryvr, IAMJEFF, kimbifille, scharkbite	2.08	1
James, kimbifille, Kyle	2.08	1
Kyle, Lanvin, Libster	2.08	1
Kyle, Livia, pianoblook, piper, scharkbite	2.08	1
Lanvin, macanek, rz, wump	2.08	1
ace201, HelanaAshryvr, wump	2.08	1
derekcheah, jack67889, Lanvin	2.08	1
derekcheah, pianoblook, piper, scharkbite, TheDaniMan, will.i.am	2.08	1
efaust, prospero, sjdrodge, wjomlex	2.08	1
gideon, Onen, vavke	2.08	1
jack67889, Lanvin, lotem, MarkusKahlsen, sephiroth	2.08	1
jack67889, Lanvin, melwen, wortel, XMIL	2.08	1
aquarelle, indego, jack67889, Lel0uch	2.07	1
florrat2, Libster, NoMercy, sjdrodge	2.01	12
4head, ace201, aitch2, Lanvin, TimeHoodie	2.0	1
Bot-Fiora, griff77, ksfortson, nkkarpov, otterful	2.0	1
Dr_Kakashi, Feer, Maiorskills, micerang, Ptheven	2.0	1
Dr_Kakashi, IAMJEFF, kimbifille, pianoblook	2.0	1
Fey, Lel0uch, ricardodd, sephiroth, sin_faith	2.0	1
Fireheart, Floriman, kimbifille, Kyle, Valetta6789	2.0	1
Floriman, JerryYang, kevincaseytdk1	2.0	1
IAMJEFF, joano580, newduke, newsun, sin_faith	2.0	1
ace201, bjnh, newduke, qqqq	2.0	1
ace201, crossproduct, newduke, newsun, Sturm	2.0	1
ace201, eliclax, ReaverSe	2.0	1
arv, HelanaAshryvr, Sturm, TheDaniMan	2.0	1
arv, Kyle, robense, wshull	2.0	1
efaust, joelwool, kemurphy, micerang, sjdrodge	2.0	1
Cory, florrat2, Hunter, James	1.94	1
Dr_Kakashi, kevincaseytdk1, kimbifille, pianoblook, piper	1.94	1
