Players	Avg eff	Num of games	Link
Dr_Kakashi, Fireheart, IAMJEFF, kopen, micerang	3.0	1	https://hanab.live/history/Dr_Kakashi/Fireheart/IAMJEFF/kopen/micerang
Lanvin, MangoPie, robense, will.i.am	2.78	1	https://hanab.live/history/Lanvin/MangoPie/robense/will.i.am
Dr_Kakashi, Floriman, IAMGUESSING, MasN, sin_faith	2.22	1	https://hanab.live/history/Dr_Kakashi/Floriman/IAMGUESSING/MasN/sin_faith
asaelr, James, kopen, Kyle, micerang	2.22	1	https://hanab.live/history/asaelr/James/kopen/Kyle/micerang
avanderwalde, derekcheah, ejwu, piper, rkass	2.22	1	https://hanab.live/history/avanderwalde/derekcheah/ejwu/piper/rkass
aprairie, Forte, silentwatcher, sjdrodge	2.11	3	https://hanab.live/history/aprairie/Forte/silentwatcher/sjdrodge
4head, ace201, MarkusKahlsen	2.08	1	https://hanab.live/history/4head/ace201/MarkusKahlsen
Dr_Kakashi, Floriman, kimbifille, scharkbite, Valetta6789	2.08	1	https://hanab.live/history/Dr_Kakashi/Floriman/kimbifille/scharkbite/Valetta6789
Dr_Kakashi, HelanaAshryvr, IAMJEFF, kimbifille, scharkbite	2.08	1	https://hanab.live/history/Dr_Kakashi/HelanaAshryvr/IAMJEFF/kimbifille/scharkbite
James, kimbifille, Kyle	2.08	1	https://hanab.live/history/James/kimbifille/Kyle
Kyle, Lanvin, Libster	2.08	1	https://hanab.live/history/Kyle/Lanvin/Libster
Kyle, Livia, pianoblook, piper, scharkbite	2.08	1	https://hanab.live/history/Kyle/Livia/pianoblook/piper/scharkbite
Lanvin, macanek, rz, wump	2.08	1	https://hanab.live/history/Lanvin/macanek/rz/wump
ace201, HelanaAshryvr, wump	2.08	1	https://hanab.live/history/ace201/HelanaAshryvr/wump
derekcheah, jack67889, Lanvin	2.08	1	https://hanab.live/history/derekcheah/jack67889/Lanvin
derekcheah, pianoblook, piper, scharkbite, TheDaniMan, will.i.am	2.08	1	https://hanab.live/history/derekcheah/pianoblook/piper/scharkbite/TheDaniMan/will.i.am
efaust, prospero, sjdrodge, wjomlex	2.08	1	https://hanab.live/history/efaust/prospero/sjdrodge/wjomlex
gideon, Onen, vavke	2.08	1	https://hanab.live/history/gideon/Onen/vavke
jack67889, Lanvin, lotem, MarkusKahlsen, sephiroth	2.08	1	https://hanab.live/history/jack67889/Lanvin/lotem/MarkusKahlsen/sephiroth
jack67889, Lanvin, melwen, wortel, XMIL	2.08	1	https://hanab.live/history/jack67889/Lanvin/melwen/wortel/XMIL
aquarelle, indego, jack67889, Lel0uch	2.07	1	https://hanab.live/history/aquarelle/indego/jack67889/Lel0uch
florrat2, Libster, NoMercy, sjdrodge	2.01	12	https://hanab.live/history/florrat2/Libster/NoMercy/sjdrodge
4head, ace201, aitch2, Lanvin, TimeHoodie	2.0	1	https://hanab.live/history/4head/ace201/aitch2/Lanvin/TimeHoodie
Bot-Fiora, griff77, ksfortson, nkkarpov, otterful	2.0	1	https://hanab.live/history/Bot-Fiora/griff77/ksfortson/nkkarpov/otterful
Dr_Kakashi, Feer, Maiorskills, micerang, Ptheven	2.0	1	https://hanab.live/history/Dr_Kakashi/Feer/Maiorskills/micerang/Ptheven
Dr_Kakashi, IAMJEFF, kimbifille, pianoblook	2.0	1	https://hanab.live/history/Dr_Kakashi/IAMJEFF/kimbifille/pianoblook
Fey, Lel0uch, ricardodd, sephiroth, sin_faith	2.0	1	https://hanab.live/history/Fey/Lel0uch/ricardodd/sephiroth/sin_faith
Fireheart, Floriman, kimbifille, Kyle, Valetta6789	2.0	1	https://hanab.live/history/Fireheart/Floriman/kimbifille/Kyle/Valetta6789
Floriman, JerryYang, kevincaseytdk1	2.0	1	https://hanab.live/history/Floriman/JerryYang/kevincaseytdk1
IAMJEFF, joano580, newduke, newsun, sin_faith	2.0	1	https://hanab.live/history/IAMJEFF/joano580/newduke/newsun/sin_faith
ace201, bjnh, newduke, qqqq	2.0	1	https://hanab.live/history/ace201/bjnh/newduke/qqqq
ace201, crossproduct, newduke, newsun, Sturm	2.0	1	https://hanab.live/history/ace201/crossproduct/newduke/newsun/Sturm
ace201, eliclax, ReaverSe	2.0	1	https://hanab.live/history/ace201/eliclax/ReaverSe
arv, HelanaAshryvr, Sturm, TheDaniMan	2.0	1	https://hanab.live/history/arv/HelanaAshryvr/Sturm/TheDaniMan
arv, Kyle, robense, wshull	2.0	1	https://hanab.live/history/arv/Kyle/robense/wshull
efaust, joelwool, kemurphy, micerang, sjdrodge	2.0	1	https://hanab.live/history/efaust/joelwool/kemurphy/micerang/sjdrodge
Cory, florrat2, Hunter, James	1.94	1	https://hanab.live/history/Cory/florrat2/Hunter/James
Dr_Kakashi, kevincaseytdk1, kimbifille, pianoblook, piper	1.94	1	https://hanab.live/history/Dr_Kakashi/kevincaseytdk1/kimbifille/pianoblook/piper
4head, DMoney, Kyle, Nitrate	1.92	1	https://hanab.live/history/4head/DMoney/Kyle/Nitrate
Aluap, Amy2, catula, nitawa, Sucubis	1.92	1	https://hanab.live/history/Aluap/Amy2/catula/nitawa/Sucubis
Aluap, aquarelle, nitawa, Sucubis, TimeHoodie	1.92	1	https://hanab.live/history/Aluap/aquarelle/nitawa/Sucubis/TimeHoodie
Andreasz, chrroom, joano580, percolate	1.92	1	https://hanab.live/history/Andreasz/chrroom/joano580/percolate
Bot-Fiora, indego, kevincaseytdk1, MarkusKahlsen, sephiroth	1.92	1	https://hanab.live/history/Bot-Fiora/indego/kevincaseytdk1/MarkusKahlsen/sephiroth
ChristopheAF, Floriman, IsabeltheCat, Jake_Stiles, sephiroth	1.92	1	https://hanab.live/history/ChristopheAF/Floriman/IsabeltheCat/Jake_Stiles/sephiroth
DMoney, pianoblook, piper, plus, will.i.am	1.92	1	https://hanab.live/history/DMoney/pianoblook/piper/plus/will.i.am
Dr_Kakashi, Floriman, kimbifille, Pablo-, piper	1.92	1	https://hanab.live/history/Dr_Kakashi/Floriman/kimbifille/Pablo-/piper
Fireheart, Floriman, Kyle	1.92	1	https://hanab.live/history/Fireheart/Floriman/Kyle
