ADrone	1037	18
Nitrate	977	17
RaKXeR	1602	17
timotree	1976	17
padi	968	16
pianoblook	3758	15
piper	1906	15
rinka	186	15
Bot-Fiora	977	14
eliclax	1089	14
florrat2	1804	14
MarkusKahlsen	2810	14
Pablo-	2515	14
sin_faith	2509	14
Libster	2896	13
melwen	7084	13
nitawa	1235	13
asaelr	4763	12
indego	3956	12
kimbifille	4211	12
Kyle	6114	12
Lel0uch	5049	12
micerang	3708	12
scharkbite	6073	12
Zamiel	6414	12
Dr_Kakashi	5164	11
Floriman	3528	11
Lanvin	7956	11
VerySloppyTwo	1509	11
sjdrodge	3977	10
Valetta6789	2575	10
Fireheart	3867	9
IAMJEFF	3059	8
