Player	2p	3p	4p	5p	6p	Total scores
Lanvin	1271	834	638	289	90	3122
kimbifille	524	474	308	134	32	1472
Lel0uch	579	330	299	155	48	1411
melwen	216	308	508	183	56	1271
Valetta6789	720	215	159	48	11	1153
Fireheart	632	281	145	53	14	1125
IAMJEFF	559	306	193	49	15	1122
Kyle	199	314	274	126	41	954
pianoblook	248	344	213	93	30	928
indego	447	177	154	107	32	917
Dr_Kakashi	371	242	183	80	29	905
MarkusKahlsen	162	319	245	98	16	840
Pablo-	324	157	159	70	38	748
scharkbite	120	220	254	93	38	725
asaelr	145	261	191	93	29	719
Zamiel	186	245	202	69	17	719
piper	185	246	124	53	20	628
Floriman	50	197	207	107	31	592
nitawa	324	109	70	28	17	548
VerySloppyTwo	300	84	84	41	10	519
micerang	93	165	158	72	20	508
ADrone	239	87	63	36	11	436
timotree	111	95	89	39	19	353
eliclax	58	121	91	37	15	322
sin_faith	32	79	112	58	29	310
sjdrodge	33	108	90	36	11	278
Libster	70	90	73	29	13	275
Nitrate	41	83	79	32	10	245
florrat2	51	64	48	19	8	190
Bot-Fiora	6	60	74	30	11	181
padi	23	41	45	23	12	144
RaKXeR	17	50	39	17	6	129
rinka	0	19	11	0	0	30
