Player	Hour	WR	Wins	Games
ADrone	00	31.96	31	97
ADrone	01	29.07	25	86
ADrone	02	29.9	29	97
ADrone	03	18.95	18	95
ADrone	04	21.13	15	71
ADrone	05	28.57	12	42
ADrone	06	28	7	25
ADrone	07	0	0	3
ADrone	13	28.57	2	7
ADrone	14	26.67	4	15
ADrone	15	20.31	13	64
ADrone	16	22.22	20	90
ADrone	17	31.96	31	97
ADrone	18	30.11	28	93
ADrone	19	20.45	18	88
ADrone	20	24.56	14	57
ADrone	21	20.75	11	53
ADrone	22	17.35	17	98
ADrone	23	20.2	20	99
asaelr	00	18.51	57	308
asaelr	01	20.83	35	168
asaelr	02	18.33	11	60
asaelr	03	0	0	8
asaelr	04	0	0	3
asaelr	05	50	1	2
asaelr	06	19.23	5	26
asaelr	07	26.67	32	120
asaelr	08	26.81	37	138
asaelr	09	29.77	39	131
asaelr	10	17.6	41	233
asaelr	11	23.84	72	302
asaelr	12	18.37	54	294
asaelr	13	26.64	77	289
asaelr	14	25.11	56	223
asaelr	15	21.71	38	175
asaelr	16	17.92	43	240
asaelr	17	24.18	74	306
asaelr	18	24.68	77	312
asaelr	19	21.75	72	331
asaelr	20	19.4	71	366
asaelr	21	22.51	79	351
asaelr	22	22.86	104	455
asaelr	23	17.65	84	476
Bot-Fiora	00	13.04	9	69
Bot-Fiora	01	20	20	100
Bot-Fiora	02	16.1	19	118
Bot-Fiora	03	19.86	29	146
Bot-Fiora	04	13.33	16	120
Bot-Fiora	05	22.62	19	84
Bot-Fiora	06	21.95	9	41
Bot-Fiora	07	10.53	2	19
Bot-Fiora	08	0	0	6
Bot-Fiora	09	0	0	4
Bot-Fiora	10	0	0	1
Bot-Fiora	11	0	0	1
Bot-Fiora	14	33.33	1	3
Bot-Fiora	15	16.67	2	12
Bot-Fiora	16	20	5	25
Bot-Fiora	17	22.45	11	49
Bot-Fiora	18	20.59	14	68
Bot-Fiora	19	15.87	10	63
Bot-Fiora	20	14.67	11	75
Bot-Fiora	21	10.91	6	55
Bot-Fiora	22	14	7	50
Bot-Fiora	23	23.21	13	56
Dr_Kakashi	00	13.69	33	241
Dr_Kakashi	01	8.12	19	234
Dr_Kakashi	02	13.55	37	273
Dr_Kakashi	03	17.9	46	257
Dr_Kakashi	04	16.1	33	205
Dr_Kakashi	05	15.53	32	206
Dr_Kakashi	06	18.41	37	201
Dr_Kakashi	07	17.14	36	210
Dr_Kakashi	08	14.72	29	197
Dr_Kakashi	09	19.23	45	234
Dr_Kakashi	10	18.18	38	209
Dr_Kakashi	11	18.92	42	222
Dr_Kakashi	12	20.59	42	204
Dr_Kakashi	13	20.3	41	202
Dr_Kakashi	14	14.06	27	192
Dr_Kakashi	15	17.9	29	162
Dr_Kakashi	16	16.83	34	202
Dr_Kakashi	17	14.85	30	202
Dr_Kakashi	18	16.59	36	217
Dr_Kakashi	19	14.63	36	246
Dr_Kakashi	20	17.56	46	262
Dr_Kakashi	21	17.24	50	290
Dr_Kakashi	22	17.63	55	312
Dr_Kakashi	23	17.01	49	288
eliclax	00	26.09	12	46
eliclax	01	26.98	17	63
eliclax	02	28.38	21	74
eliclax	03	20	17	85
eliclax	04	22.11	21	95
eliclax	05	28.57	14	49
eliclax	06	26.09	12	46
eliclax	07	12.5	3	24
eliclax	08	23.08	9	39
eliclax	09	10.83	13	120
eliclax	10	13.16	15	114
eliclax	11	17.86	25	140
eliclax	12	26.32	40	152
eliclax	13	19.59	29	148
eliclax	14	24.3	26	107
eliclax	15	14.49	10	69
eliclax	16	21.05	12	57
eliclax	17	24	6	25
eliclax	18	20	1	5
eliclax	19	20	1	5
eliclax	20	30	3	10
eliclax	21	20	1	5
eliclax	22	4.35	1	23
eliclax	23	27.78	5	18
Fireheart	00	12.17	14	115
Fireheart	01	20.15	27	134
Fireheart	02	16.93	32	189
Fireheart	03	15.85	39	246
Fireheart	04	13.11	40	305
Fireheart	05	14.68	37	252
Fireheart	06	15.08	30	199
Fireheart	07	14.44	26	180
Fireheart	08	12.43	23	185
Fireheart	09	21.74	40	184
Fireheart	10	17.78	32	180
Fireheart	11	21.48	32	149
Fireheart	12	25	28	112
Fireheart	13	20.83	30	144
Fireheart	14	18.75	30	160
Fireheart	15	21.02	37	176
Fireheart	16	13.33	20	150
Fireheart	17	20.16	25	124
Fireheart	18	24.36	38	156
