player	diff	game_id	variant	players	date_time_started	date_time_finished	seed
Zamiel	0 years 0 mons 0 days 2 hours 7 mins 34.00 secs	4295	No Variant	{Zamiel,Hyakinthus,Swifter,Mike}	2018-03-24 23:24:53.000000	2018-03-25 01:32:27.000000	p4v0s65
sjdrodge	0 years 0 mons 0 days 1 hours 42 mins 15.675344 secs	370540	Rainbow (6 Suits)	{sjdrodge,NoMercy,florrat2,Libster}	2020-12-14 00:53:59.487012	2020-12-14 02:36:15.162356	p4v3shc-2020-12-14-4
Libster	0 years 0 mons 0 days 1 hours 42 mins 15.675344 secs	370540	Rainbow (6 Suits)	{sjdrodge,NoMercy,florrat2,Libster}	2020-12-14 00:53:59.487012	2020-12-14 02:36:15.162356	p4v3shc-2020-12-14-4
florrat2	0 years 0 mons 0 days 1 hours 42 mins 15.675344 secs	370540	Rainbow (6 Suits)	{sjdrodge,NoMercy,florrat2,Libster}	2020-12-14 00:53:59.487012	2020-12-14 02:36:15.162356	p4v3shc-2020-12-14-4
timotree	0 years 0 mons 0 days 1 hours 39 mins 8.274624 secs	492887	Null (5 Suits)	{timotree,HelanaAshryvr,doctorabi}	2021-04-07 02:59:14.262587	2021-04-07 04:38:22.537211	p3v181s15
RaKXeR	0 years 0 mons 0 days 1 hours 29 mins 19.548856 secs	328034	Duck (5 Suits)	{RaKXeR,Libster,Valetta6789}	2020-10-25 15:28:12.598838	2020-10-25 16:57:32.147694	p3v55shc-2020-10-26-1
Valetta6789	0 years 0 mons 0 days 1 hours 29 mins 19.548856 secs	328034	Duck (5 Suits)	{RaKXeR,Libster,Valetta6789}	2020-10-25 15:28:12.598838	2020-10-25 16:57:32.147694	p3v55shc-2020-10-26-1
ADrone	0 years 0 mons 0 days 1 hours 27 mins 42.282423 secs	370614	Rainbow (6 Suits)	{kimbifille,piper,ADrone,pianoblook}	2020-12-14 02:30:15.395891	2020-12-14 03:57:57.678314	p4v3shc-2020-12-14-1
kimbifille	0 years 0 mons 0 days 1 hours 27 mins 42.282423 secs	370614	Rainbow (6 Suits)	{kimbifille,piper,ADrone,pianoblook}	2020-12-14 02:30:15.395891	2020-12-14 03:57:57.678314	p4v3shc-2020-12-14-1
pianoblook	0 years 0 mons 0 days 1 hours 27 mins 42.282423 secs	370614	Rainbow (6 Suits)	{kimbifille,piper,ADrone,pianoblook}	2020-12-14 02:30:15.395891	2020-12-14 03:57:57.678314	p4v3shc-2020-12-14-1
