Player	Year	Month	Hours
FairyBoots	2022	October  	40
newduke	2022	September	137
arv	2022	August   	94
ReaverSe	2022	July     	139
newduke	2022	June     	140
HelanaAshryvr	2022	May      	139
HelanaAshryvr	2022	April    	117
HelanaAshryvr	2022	March    	120
ReaverSe	2022	February 	133
ReaverSe	2022	January  	176
HelanaAshryvr	2021	December 	153
Lanvin	2021	November 	125
Lanvin	2021	October  	204
Lanvin	2021	September	207
Lanvin	2021	August   	231
Lanvin	2021	July     	234
Lanvin	2021	June     	248
Lanvin	2021	May      	239
Lel0uch	2021	April    	233
indego	2021	April    	233
Lel0uch	2021	March    	245
indego	2021	February 	213
Lanvin	2021	January  	239
Lel0uch	2020	December 	197
melwen	2020	November 	142
kimbifille	2020	October  	157
kimbifille	2020	September	127
Dr_Kakashi	2020	August   	134
melwen	2020	July     	123
melwen	2020	June     	127
melwen	2020	May      	162
melwen	2020	April    	157
pianoblook	2020	March    	70
Fireheart	2020	February 	57
Fireheart	2020	January  	80
Fireheart	2019	December 	123
Fireheart	2019	November 	126
Fireheart	2019	October  	123
Fireheart	2019	September	96
Dr_Kakashi	2019	August   	91
micerang	2019	July     	85
lh	2019	June     	86
csq	2019	May      	75
sjdrodge	2019	April    	83
sjdrodge	2019	March    	94
Sh	2019	February 	68
Zamiel	2019	January  	88
Hunter	2018	December 	56
demochi	2018	November 	49
seban917	2018	October  	59
pepsicola	2018	September	47
scharkbite	2018	August   	52
scharkbite	2018	July     	76
Zamiel	2018	June     	54
Zamiel	2018	May      	26
Zamiel	2018	April    	42
poppets2	2018	March    	58
Poppets1	2018	March    	58
Zamiel	2018	February 	42
Zamiel	2018	January  	17
