Player	Days	Hours	Per game (in min)	Per day (in h)
melwen	90	3	13.1	4.6
Lel0uch	66	7	9.0	6.6
Lanvin	65	10	9.7	7.0
scharkbite	63	15	12.4	2.0
Zamiel	60	4	9.8	1.9
Dr_Kakashi	58	11	8.4	3.3
kimbifille	54	15	10.3	3.2
Kyle	54	2	10.3	2.1
pianoblook	53	0	16.0	2.9
indego	51	12	9.3	6.0
asaelr	44	7	10.6	1.5
sjdrodge	41	12	11.9	1.9
Fireheart	38	4	6.3	2.7
Libster	36	1	13.5	1.2
micerang	34	0	11.2	1.4
MarkusKahlsen	33	10	14.1	1.7
Floriman	32	4	11.6	1.5
timotree	32	4	14.5	2.4
Valetta6789	31	12	7.6	1.8
IAMJEFF	30	20	6.3	2.2
piper	30	9	16.3	2.5
ADrone	24	8	16.0	1.5
sin_faith	23	12	12.3	2.0
florrat2	22	9	13.4	1.2
VerySloppyTwo	17	13	8.5	1.4
RaKXeR	16	10	12.0	1.0
padi	11	5	13.8	1.3
Nitrate	11	4	14.4	1.3
Bot-Fiora	7	12	14.7	2.1
rinka	3	2	18.4	1.5
