Player	Days	Hours	Per game (in min)	Per day (in h)
melwen	90	3	13.1	4.5
Lel0uch	66	7	9.0	5.8
Lanvin	65	10	9.7	7.0
scharkbite	63	15	12.4	1.4
Zamiel	60	4	9.8	1.1
Dr_Kakashi	58	11	8.4	1.7
kimbifille	54	15	10.3	2.9
Kyle	54	2	10.3	1.7
pianoblook	53	0	16.0	2.4
indego	51	12	9.3	4.4
asaelr	44	7	10.6	1.3
sjdrodge	41	12	11.9	1.1
Fireheart	38	4	6.3	1.3
Libster	36	1	13.5	0.7
micerang	34	0	11.2	1.0
MarkusKahlsen	33	10	14.1	1.6
Floriman	32	4	11.6	1.2
timotree	32	4	14.5	1.7
Valetta6789	31	12	7.6	1.1
IAMJEFF	30	20	6.3	0.9
piper	30	9	16.3	1.5
ADrone	24	8	16.0	1.1
sin_faith	23	12	12.3	1.2
florrat2	22	9	13.4	0.4
VerySloppyTwo	17	13	8.5	1.0
RaKXeR	16	10	12.0	0.3
padi	11	5	13.8	0.5
Nitrate	11	4	14.4	0.3
Bot-Fiora	7	12	14.7	1.1
rinka	3	2	18.4	0.5
