Player	Days	Hours	Per game (in min)	Per day (in h)
melwen	89	23	13.1	4.6
Lel0uch	66	3	9.0	6.6
Lanvin	65	5	9.7	7.0
scharkbite	63	12	12.4	2.0
Zamiel	60	4	9.8	1.9
Dr_Kakashi	58	9	8.4	3.3
kimbifille	54	12	10.3	3.2
Kyle	53	22	10.3	2.1
pianoblook	52	20	16.0	2.9
indego	51	7	9.3	6.0
asaelr	44	7	10.6	1.5
sjdrodge	41	11	11.9	1.9
Fireheart	38	4	6.3	2.7
Libster	36	1	13.5	1.2
MarkusKahlsen	33	9	14.1	1.7
Floriman	32	4	11.6	1.5
timotree	32	2	14.5	2.4
Valetta6789	31	12	7.6	1.8
IAMJEFF	30	20	6.3	2.2
piper	30	7	16.3	2.5
ADrone	24	7	16.0	1.5
sin_faith	23	12	12.3	2.0
florrat2	22	9	13.4	1.2
VerySloppyTwo	17	11	8.5	1.4
RaKXeR	16	10	12.0	1.0
padi	11	5	13.8	1.3
Nitrate	11	3	14.3	1.3
Bot-Fiora	7	12	14.7	2.1
