player	year	month	hours
Zamiel	2018	1	17
Zamiel	2018	2	42
poppets2	2018	3	58
Poppets1	2018	3	58
Zamiel	2018	4	42
Zamiel	2018	5	26
Zamiel	2018	6	54
scharkbite	2018	7	76
scharkbite	2018	8	52
pepsicola	2018	9	47
seban917	2018	10	59
demochi	2018	11	49
Hunter	2018	12	56
Zamiel	2019	1	88
Sh	2019	2	68
sjdrodge	2019	3	94
sjdrodge	2019	4	83
csq	2019	5	75
lh	2019	6	86
micerang	2019	7	85
Dr_Kakashi	2019	8	91
Fireheart	2019	9	96
Fireheart	2019	10	123
Fireheart	2019	11	126
Fireheart	2019	12	123
Fireheart	2020	1	80
Fireheart	2020	2	57
pianoblook	2020	3	70
melwen	2020	4	157
melwen	2020	5	162
melwen	2020	6	127
melwen	2020	7	123
Dr_Kakashi	2020	8	134
kimbifille	2020	9	127
kimbifille	2020	10	157
melwen	2020	11	142
Lel0uch	2020	12	197
Lanvin	2021	1	239
indego	2021	2	213
Lel0uch	2021	3	245
indego	2021	4	233
Lel0uch	2021	4	233
Lanvin	2021	5	239
Lanvin	2021	6	248
Lanvin	2021	7	234
Lanvin	2021	8	231
Lanvin	2021	9	141
