Player	2p	3p	4p	5p	6p	Total scores
Lanvin	722	395	380	191	70	1758
Lel0uch	556	277	263	146	48	1290
melwen	186	254	440	153	52	1085
IAMJEFF	546	293	173	46	15	1073
Valetta6789	661	200	144	42	11	1058
kimbifille	400	295	220	92	28	1035
Fireheart	575	257	134	46	14	1026
Dr_Kakashi	363	241	180	77	29	890
indego	428	154	141	96	30	849
Kyle	148	235	213	92	38	726
pianoblook	218	226	168	72	25	709
Zamiel	182	236	192	66	17	693
scharkbite	115	207	242	90	37	691
asaelr	116	211	166	76	26	595
piper	182	172	107	48	17	526
Floriman	49	165	187	89	30	520
MarkusKahlsen	110	179	153	63	13	518
VerySloppyTwo	257	69	74	36	10	446
ADrone	214	76	47	30	11	378
timotree	82	77	73	39	19	290
Libster	70	89	73	29	13	274
sin_faith	26	68	93	53	24	264
sjdrodge	33	103	81	34	11	262
florrat2	51	64	48	19	8	190
Nitrate	33	65	47	19	9	173
padi	23	41	44	23	12	143
Bot-Fiora	3	39	46	20	8	116
RaKXeR	17	47	31	15	5	115
