Username	Type	W/L(%)	W(%)	L(%)	W(#)	L(#)	W/L(%, 2p)	W(%, 2p)	L(%, 2p)	W(#, 2p)	L(#, 2p)	W/L(%, 3p)	W(%, 3p+)	L(%, 3p+)	W(#, 3p+)	L(#, 3p+)
Valetta6789	Totals	28.54	22.21	77.79	1331	4663	28.34	22.08	77.92	738	2604	28.8	22.36	77.64	593	2059
Valetta6789	Easy	43.52	30.32	69.68	923	2121	52.01	34.21	65.79	492	946	36.68	26.84	73.16	431	1175
Valetta6789	Null	26.63	21.03	78.97	45	169	23.53	19.05	80.95	16	68	28.71	22.31	77.69	29	101
Valetta6789	Single dark	17.31	14.76	85.24	353	2039	16.78	14.37	85.63	221	1317	18.28	15.46	84.54	132	722
Valetta6789	Double dark	2.99	2.91	97.09	10	334	3.3	3.19	96.81	9	273	1.64	1.61	98.39	1	61
Zamiel	Totals	16.9	14.46	85.54	1290	7634	9.98	9.08	90.92	182	1823	19.07	16.01	83.99	1108	5811
Zamiel	Easy	25.84	20.54	79.46	1088	4210	17.69	15.03	84.97	138	780	27.7	21.69	78.31	950	3430
Zamiel	Null	8.65	7.96	92.04	36	416	5.56	5.26	94.74	10	180	11.02	9.92	90.08	26	236
Zamiel	Single dark	6.29	5.92	94.08	160	2543	3.95	3.8	96.2	32	811	7.39	6.88	93.12	128	1732
Zamiel	Double dark	1.29	1.27	98.73	6	465	3.85	3.7	96.3	2	52	0.97	0.96	99.04	4	413
