variant	variant_id
Pink (6 Suits)	106
White (6 Suits)	13
Null (6 Suits)	180
Rainbow-Ones (6 Suits)	168
Rainbow & Light Pink (6 Suits)	782
Black & Pink (6 Suits)	118
Rainbow & Pink (6 Suits)	120
Dark Prism (6 Suits)	1468
White & Omni (6 Suits)	206
Dual-Color (6 Suits)	4
Omni (6 Suits)	176
Dark Rainbow (6 Suits)	11
Pink & Gray (6 Suits)	133
Pink & Prism (5 Suits)	1480
Muddy Rainbow (6 Suits)	160
Brown-Ones (5 Suits)	407
Rainbow & Muddy Rainbow (6 Suits)	1292
Ambiguous (6 Suits)	8
Brown & Prism (6 Suits)	1491
Dark Omni (6 Suits)	242
White Reversed (6 Suits)	1356
White & Brown (5 Suits)	80
Rainbow-Fives (5 Suits)	527
White & Omni (5 Suits)	207
Reversed (6 Suits)	1342
Rainbow Reversed (5 Suits)	1349
Rainbow Reversed (6 Suits)	1348
Pink (4 Suits)	108
Rainbow (5 Suits)	16
White-Fives & Rainbow (6 Suits)	602
Brown (4 Suits)	71
White-Ones & Pink (5 Suits)	375
White & Prism (6 Suits)	1485
Rainbow (6 Suits)	3
Prism Reversed (5 Suits)	1664
Dark Brown (5 Suits)	90
Null (5 Suits)	181
White & Brown (6 Suits)	79
Omni (4 Suits)	178
Brown (5 Suits)	70
Dark Pink (6 Suits)	137
Rainbow & Dark Brown (5 Suits)	93
Rainbow-Ones & White (5 Suits)	299
Rainbow & White (5 Suits)	28
Prism (5 Suits)	1465
6 Suits	1
Up or Down (5 Suits)	24
Prism & Gray (6 Suits)	1525
White & Light Pink (6 Suits)	786
Pink & Prism (6 Suits)	1479
Muddy Rainbow (5 Suits)	161
Light Pink (6 Suits)	164
Throw It in a Hole (5 Suits)	280
White-Ones & Brown (5 Suits)	383
Dark Brown (6 Suits)	89
White-Ones & Rainbow (6 Suits)	370
Dual-Color Mix	7
Dark Prism (5 Suits)	1469
Light Pink (4 Suits)	166
Pink & Dark Prism (6 Suits)	1483
Rainbow-Fives (4 Suits)	528
Special Mix (5 Suits)	159
Up or Down (6 Suits)	40
3 Suits	18
Rainbow (4 Suits)	17
Deceptive-Fives (5 Suits)	1732
White-Ones & Rainbow (5 Suits)	371
Pink & White (5 Suits)	124
Dual-Color & Muddy Rainbow (6 Suits)	1436
Rainbow & White (4 Suits)	29
Brown & Light Pink (5 Suits)	791
Rainbow & White (6 Suits)	6
Light Pink (5 Suits)	165
White-Ones (6 Suits)	366
Reversed (5 Suits)	1343
Rainbow-Fives (6 Suits)	526
Pink (5 Suits)	107
Clue Starved (5 Suits)	52
Rainbow & Brown (5 Suits)	76
White (5 Suits)	22
Brown-Ones (6 Suits)	406
Prism (6 Suits)	1464
4 Suits	15
Rainbow-Ones (5 Suits)	169
White-Ones & Brown (6 Suits)	382
Black (5 Suits)	21
Rainbow & Prism (5 Suits)	1474
Prism Reversed (6 Suits)	1663
Rainbow & Brown (6 Suits)	75
Black (6 Suits)	2
White-Ones (4 Suits)	368
Rainbow & Prism (6 Suits)	1473
Cocoa Rainbow (6 Suits)	290
Pink & Omni (5 Suits)	199
Brown-Fives (5 Suits)	639
Rainbow & Pink (5 Suits)	121
Gray (6 Suits)	59
Throw It in a Hole (6 Suits)	279
Dark Pink (5 Suits)	138
White (4 Suits)	26
Rainbow & Omni (5 Suits)	191
Pink-Fives (6 Suits)	45
Deceptive-Ones (6 Suits)	1671
Pink & Light Pink (5 Suits)	1297
No Variant	0
Deceptive-Ones (5 Suits)	1672
Omni (5 Suits)	177
Up or Down & Prism (6 Suits)	1669
Pink & Muddy Rainbow (5 Suits)	761
Dual-Color & Prism (6 Suits)	1649
White & Prism (5 Suits)	1486
Pink & White (6 Suits)	123
Up or Down & Rainbow (6 Suits)	25
Rainbow-Ones & Rainbow (6 Suits)	294
Prism (4 Suits)	1466
Rainbow & Pink (4 Suits)	122
Black & Rainbow (6 Suits)	65
White-Ones (5 Suits)	367
Brown (6 Suits)	69
