Player	Rainbow	Prism	White	Black	Pink	Light Pink	Brown	Muddy Rainbow	Omni	Null	Dark Rainbow	Dark Prism	Gray	Dark Pink	Gray Pink	Dark Brown	Cocoa Rainbow	Dark Omni	Dark Null
ADrone	206	63	162	170	99	45	96	39	50	49	26	10	53	18	16	14	28	6	16
Bot-Fiora	175	101	142	154	94	58	97	42	58	37	41	62	35	14	14	44	44	18	9
Dr_Kakashi	792	138	752	949	541	209	393	129	297	199	206	54	180	166	122	131	95	103	72
Fireheart	795	52	492	640	410	96	392	105	361	445	199	13	189	133	54	132	44	115	43
Floriman	730	186	412	862	401	145	324	154	244	127	402	46	156	141	98	132	85	67	42
IAMJEFF	640	111	430	504	515	146	393	110	326	305	177	41	135	128	44	81	67	51	43
Kyle	1232	358	683	950	663	299	537	299	390	222	366	164	225	186	166	190	121	152	70
Lanvin	1304	963	982	882	929	628	853	581	661	221	353	411	381	306	236	294	267	277	74
Lel0uch	963	499	541	574	709	419	477	425	465	108	283	243	202	251	190	222	213	272	29
Libster	2145	21	1735	4845	222	4	156	16	56	48	2301	0	34	25	0	39	1	4	2
MarkusKahlsen	518	289	299	475	338	187	347	161	187	102	131	130	137	138	87	147	100	72	47
Nitrate	241	87	130	158	98	39	106	58	26	2	61	48	39	19	4	32	16	11	3
Pablo-	385	161	257	447	242	146	182	103	104	54	100	88	125	103	70	74	79	44	24
RaKXeR	1087	40	1446	1846	70	9	60	12	33	6	1013	2	20	11	4	11	3	8	4
Valetta6789	725	104	1051	698	408	73	298	116	291	128	478	42	160	108	69	88	63	94	18
VerySloppyTwo	184	150	142	175	180	89	158	63	83	30	75	50	53	43	23	32	39	71	11
Zamiel	1798	126	622	2296	526	157	405	169	369	473	1349	56	119	127	30	101	104	87	71
asaelr	922	248	453	836	557	173	400	192	208	148	171	84	196	148	72	182	77	111	37
eliclax	164	109	132	207	113	59	120	53	90	26	34	48	50	35	21	38	12	24	11
florrat2	2074	0	1704	4903	178	4	98	10	37	43	2312	0	25	8	6	19	1	2	3
indego	548	355	332	450	503	300	428	343	388	198	168	189	142	170	137	166	143	177	40
kimbifille	811	407	516	767	520	339	373	345	400	226	188	162	254	277	162	235	157	213	171
melwen	1181	583	687	1070	846	507	613	399	452	181	255	325	389	344	162	261	225	382	69
micerang	768	133	444	570	417	113	435	112	206	155	170	46	127	134	46	68	62	25	21
nitawa	134	90	72	299	111	53	84	50	40	17	86	61	82	76	36	37	43	29	3
padi	128	14	402	146	64	33	81	40	36	23	41	3	30	23	6	24	10	8	1
pianoblook	669	287	470	615	425	234	381	194	232	246	183	110	232	174	72	168	119	139	149
piper	266	137	178	287	193	96	144	72	87	165	82	61	99	115	45	87	49	103	115
rinka	26	3	26	56	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0
scharkbite	1285	256	577	1200	530	313	437	219	379	297	504	90	215	150	90	175	97	104	51
sin_faith	342	140	215	295	203	139	174	129	134	104	59	92	54	81	60	26	42	33	21
sjdrodge	582	78	385	319	212	48	264	50	102	145	128	18	139	33	11	25	3	5	7
timotree	404	204	395	297	143	59	142	49	75	124	106	68	59	35	32	45	35	38	35
