Player	Suit #1	% #1	Suit #2	% #2	Suit #3	% #3	Suit #4	% #4	Suit #5	% #5
ADrone	Rainbow	18.72	Black	13.83	White	10.75	Pink	9.22	Brown	8.31
asaelr	Rainbow	17.02	Black	15.99	Pink	10.24	White	8.97	Brown	7.54
Bot-Fiora	Rainbow	14.28	Black	12.15	White	10.93	Pink	7.85	Prism	7.65
DMoney	Rainbow	15.7	Black	15.67	Pink	8.91	White	8.03	Brown	6.18
Dr_Kakashi	Black	16.44	Rainbow	14.51	Pink	10.29	White	9.68	Brown	7.47
eliclax	Black	14.53	Rainbow	11.64	White	8.86	Brown	8.68	Pink	8.51
Fireheart	Rainbow	16.79	Black	13.55	White	10.48	Null	9.36	Pink	8.67
Floriman	Rainbow	16.24	Black	14.19	Pink	9.91	White	8.72	Brown	7.66
florrat2	Black	32.62	Dark Rainbow	25.24	Rainbow	20.45	Brown	4.67	White	4.31
IAMJEFF	Rainbow	13.15	Pink	11.96	Black	10.38	White	9.65	Brown	9.17
indego	Rainbow	10.27	Pink	9.52	Black	8.62	Brown	7.95	Omni	7.71
kimbifille	Rainbow	12.21	Black	11.76	Pink	8.28	White	7.65	Prism	6.45
Kyle	Rainbow	16.65	Black	12.73	White	9.38	Pink	9.19	Brown	7.37
Lanvin	Rainbow	11.85	Prism	9.04	White	9.01	Pink	8.42	Black	8.06
Lel0uch	Rainbow	12.89	Pink	10.06	Black	8.1	Omni	7.35	White	7.34
Libster	Black	29.83	Rainbow	26.71	Dark Rainbow	16.02	White	6.2	Brown	6.05
MarkusKahlsen	Rainbow	12.44	Black	11.85	Pink	8.6	Brown	8.17	White	7.56
melwen	Rainbow	13.12	Black	11.69	Pink	9.48	White	7.57	Prism	6.87
micerang	Rainbow	18.58	Black	13.7	White	10.97	Brown	10.59	Pink	10.14
nitawa	Black	20.16	Rainbow	8.84	Dark Rainbow	7.59	Pink	7.5	Dark Pink	6.81
Nitrate	Rainbow	19.08	Black	11.97	White	10.77	Brown	9.44	Pink	8.1
Pablo-	Black	15.08	Rainbow	12.9	White	9.09	Pink	8.47	Brown	6.44
padi	Black	18.18	Rainbow	15.91	White	12.2	Brown	9.69	Pink	7.89
pianoblook	Rainbow	13.28	Black	11.71	Pink	8.88	White	8.78	Brown	7.55
piper	Black	12.05	Rainbow	11.02	Pink	8.22	White	7.48	Null	6.95
RaKXeR	Rainbow	29.94	Black	26.47	Dark Rainbow	11.95	Pink	6.12	White	5.83
scharkbite	Rainbow	17.64	Black	15.89	White	8.58	Pink	7.65	Brown	6.44
sin_faith	Rainbow	13.99	Black	12.33	Pink	9.59	White	8.41	Brown	7.03
sjdrodge	Rainbow	22.6	White	14.76	Black	12.1	Brown	10.62	Pink	8.73
TimeHoodie	Rainbow	13.14	Black	11.1	Pink	8.72	White	7.37	Prism	7.25
timotree	Rainbow	16.13	Prism	10.37	Black	10.37	White	8.93	Pink	7.69
Valetta6789	Rainbow	14.84	Black	10.44	White	9.79	Pink	9.42	Omni	9.05
Zamiel	Black	19.75	Rainbow	18.08	Dark Rainbow	11.31	Pink	7.9	Null	7.04
