Variant	Variant id	Games	Total	Max scores
Dark Null & Dark Prism (6 Suits)	1542	149	299	2
Cocoa Rainbow & Dark Prism (6 Suits)	1543	145	145	1
Gray & Gray Pink (6 Suits)	855	121	242	2
Dark Omni & Dark Null (6 Suits)	276	110	441	4
Pink-Ones & Gray Pink (5 Suits)	890	109	219	2
White-Fives & Dark Null (6 Suits)	636	102	102	1
Dark Brown & Dark Prism (6 Suits)	1540	95	287	3
White-Fives & Dark Null (5 Suits)	637	93	186	2
Dark Omni & Gray Pink (6 Suits)	859	73	73	1
Dark Pink & Dark Brown (6 Suits)	148	67	335	5
Cocoa Rainbow & Gray Pink (6 Suits)	862	67	135	2
Deceptive-Ones & Gray Pink (5 Suits)	1728	65	65	1
Gray & Cocoa Rainbow (6 Suits)	854	61	183	3
Black & Dark Pink (6 Suits)	139	56	1288	23
Black & Dark Null (6 Suits)	257	55	444	8
Null-Fives & Gray (5 Suits)	751	55	55	1
Black & Dark Brown (6 Suits)	91	54	865	16
Gray & Dark Null (6 Suits)	273	54	108	2
Null-Ones & Gray (6 Suits)	518	53	53	1
Deceptive-Fives & Gray (5 Suits)	1778	52	52	1
Null-Ones & Dark Null (5 Suits)	525	51	102	2
Brown-Fives & Dark Rainbow (5 Suits)	667	48	48	1
Dark Omni & Cocoa Rainbow (6 Suits)	858	46	92	2
Special Mix (6 Suits)	185	45	2644	58
Dark Brown & Gray Pink (6 Suits)	857	44	89	2
Dark Rainbow & Dark Prism (6 Suits)	1537	44	223	5
Null-Fives & Dark Brown (5 Suits)	753	42	42	1
Deceptive-Ones & Dark Rainbow (5 Suits)	1714	41	41	1
Dark Brown & Dark Null (6 Suits)	275	40	80	2
Dark Rainbow & Dark Pink (6 Suits)	146	39	553	14
Dark Rainbow & Dark Null (6 Suits)	269	39	119	3
White-Ones & Dark Null (6 Suits)	404	39	79	2
Deceptive-Fives & Dark Pink (6 Suits)	1775	39	39	1
Dark Rainbow & Dark Omni (6 Suits)	268	38	344	9
Deceptive-Fives & Gray Pink (5 Suits)	1788	38	38	1
Special Mix (5 Suits)	159	37	4438	118
Omni-Ones & Dark Brown (5 Suits)	481	37	37	1
Light-Pink-Ones & Dark Pink (6 Suits)	1101	37	37	1
Dark Pink & Dark Prism (6 Suits)	1538	37	111	3
Black & Cocoa Rainbow (6 Suits)	826	36	396	11
Black & Dark Rainbow (6 Suits)	12	35	2204	62
Gray & Dark Brown (6 Suits)	97	35	106	3
Null-Fives & Dark Rainbow (6 Suits)	746	35	70	2
Dark Pink & Gray Pink (6 Suits)	1309	34	69	2
Omni-Ones & Dark Omni (5 Suits)	483	32	32	1
Light-Pink-Ones & Dark Rainbow (5 Suits)	1100	32	32	1
Light-Pink-Ones & Cocoa Rainbow (6 Suits)	1111	32	32	1
Extremely Ambiguous & Dark Brown (6 Suits)	1415	32	64	2
Black & Dark Prism (6 Suits)	1472	32	553	17
Gray Pink & Dark Prism (6 Suits)	1544	32	32	1
Deceptive-Fives & Gray (6 Suits)	1777	32	32	1
Omni-Ones & Gray Pink (5 Suits)	926	31	31	1
Number Mute (4 Suits)	116	30	30	1
Null & Gray (6 Suits)	236	30	122	4
Light-Pink-Fives & Dark Omni (6 Suits)	1211	30	120	4
Alternating Clues & Dark Rainbow (6 Suits)	1448	30	60	2
Pink-Ones & Gray Pink (6 Suits)	889	29	145	5
Muddy-Rainbow-Ones & Dark Omni (6 Suits)	1055	29	29	1
Number Mute (5 Suits)	115	28	115	4
Dark Pink & Gray (6 Suits)	147	28	373	13
Gray & Dark Omni (6 Suits)	272	28	84	3
Muddy Rainbow & Dark Null (5 Suits)	823	28	28	1
Null & Cocoa Rainbow (5 Suits)	836	28	56	2
Extremely Ambiguous & Gray Pink (6 Suits)	1423	28	28	1
Brown-Fives & Gray (6 Suits)	670	27	27	1
Dark Null & Cocoa Rainbow (6 Suits)	860	27	55	2
Pink-Fives & Gray Pink (6 Suits)	961	27	54	2
Muddy-Rainbow-Fives & Light Pink (6 Suits)	1147	27	27	1
Pink & Dark Null (6 Suits)	260	26	239	9
White-Fives & Dark Brown (5 Suits)	633	26	52	2
Light-Pink-Fives & Dark Null (6 Suits)	1213	26	26	1
Light-Pink-Fives & Gray Pink (6 Suits)	1217	26	26	1
Muddy-Rainbow-Ones & Black (6 Suits)	1330	26	238	9
White Reversed (6 Suits)	1356	26	4745	182
Black & Gray (6 Suits)	60	25	1188	47
Black & Dark Omni (6 Suits)	244	25	407	16
Pink-Ones & Gray (5 Suits)	359	25	129	5
Omni-Ones & Gray (6 Suits)	478	25	51	2
Omni-Ones & Dark Omni (6 Suits)	482	25	25	1
Brown-Fives & Dark Pink (5 Suits)	669	25	25	1
Brown-Fives & Dark Omni (5 Suits)	675	25	25	1
Light Pink & Dark Null (6 Suits)	824	25	75	3
Pink-Fives & Cocoa Rainbow (6 Suits)	959	25	76	3
Light-Pink-Ones & Dark Rainbow (6 Suits)	1099	25	51	2
Very Ambiguous & Light Pink (4 Suits)	1408	25	50	2
Gray & Dark Prism (6 Suits)	1539	25	25	1
Deceptive-Fives & Dark Brown (6 Suits)	1779	25	51	2
Alternating Clues & Brown (6 Suits)	1258	24	49	2
Dark Rainbow & Cocoa Rainbow (6 Suits)	1308	24	121	5
Extremely Ambiguous & Black (6 Suits)	1379	24	73	3
Dark Rainbow & Gray (6 Suits)	62	23	213	9
Dark Null & Gray Pink (6 Suits)	861	23	23	1
Throw It in a Hole & Omni (5 Suits)	1233	23	23	1
Ambiguous & Dark Omni (5 Suits)	1375	23	23	1
Odds and Evens & Rainbow (6 Suits)	1842	23	23	1
Dark Null (6 Suits)	255	22	1056	47
Null & Muddy Rainbow (3 Suits)	779	22	112	5
Light-Pink-Fives & Dark Omni (5 Suits)	1212	22	22	1
White-Fives & Dark Prism (6 Suits)	1609	22	67	3
Duck (6 Suits)	54	21	303	14
Number Mute (6 Suits)	114	21	64	3
Dark Brown & Dark Omni (6 Suits)	274	21	85	4
Pink-Ones & Dark Null (6 Suits)	364	21	21	1
Light-Pink-Ones & Dark Brown (5 Suits)	1106	21	21	1
Alternating Clues & Rainbow (6 Suits)	1246	21	87	4
Null & Dark Omni (6 Suits)	253	20	83	4
Rainbow-Ones & Dark Null (5 Suits)	325	20	40	2
Omni-Ones & Gray (5 Suits)	479	20	61	3
