variant	variant_id
Muddy-Rainbow-Fives & Dark Pink (6 Suits)	1153
Brown-Fives & Dark Pink (6 Suits)	668
Omni-Ones & Muddy Rainbow (5 Suits)	916
Omni-Fives & Null (5 Suits)	703
Muddy-Rainbow-Fives & Prism (4 Suits)	1631
Throw It in a Hole & Brown (6 Suits)	1229
Alternating Clues & Light Pink (4 Suits)	1276
Omni-Fives & Muddy Rainbow (6 Suits)	987
White-Fives & Dark Prism (6 Suits)	1609
Muddy-Rainbow-Ones & Prism (3 Suits)	1584
Deceptive-Fives & Null (4 Suits)	1759
Extremely Ambiguous & Gray (6 Suits)	1413
Light-Pink-Ones & Dark Brown (5 Suits)	1106
Alternating Clues & Dark Prism (6 Suits)	1656
Omni-Ones & Muddy Rainbow (4 Suits)	917
Null-Fives & Cocoa Rainbow (5 Suits)	1008
Alternating Clues & Dark Omni (5 Suits)	1457
Light-Pink-Ones & Dark Pink (5 Suits)	1102
Null-Fives & Null (3 Suits)	745
Deceptive-Fives & Omni (4 Suits)	1755
Muddy-Rainbow-Ones & Cocoa Rainbow (5 Suits)	1060
Alternating Clues & Light Pink (3 Suits)	1277
Null-Fives & Dark Pink (6 Suits)	748
Omni-Ones & Muddy Rainbow (3 Suits)	918
White-Fives & Gray (6 Suits)	630
Null-Ones & Muddy Rainbow (5 Suits)	928
White-Fives & Gray Pink (5 Suits)	974
Omni-Fives & Dark Null (5 Suits)	717
Alternating Clues & Dark Brown (5 Suits)	1455
Light-Pink-Ones & Dark Omni (6 Suits)	1107
Light-Pink-Ones & Cocoa Rainbow (6 Suits)	1111
Pink-Fives & Dark Prism (6 Suits)	1603
Alternating Clues & Pink (3 Suits)	1253
Null-Fives & Black (5 Suits)	1337
Deceptive-Ones & Gray (5 Suits)	1718
Rainbow-Fives & Dark Pink (6 Suits)	556
Null-Ones & Omni (6 Suits)	506
Deceptive-Ones & Null (3 Suits)	1700
Omni-Ones & Black (6 Suits)	1320
Deceptive-Fives & Brown (5 Suits)	1750
Pink-Ones & Dark Brown (5 Suits)	361
Throw It in a Hole & Omni (6 Suits)	1232
Light-Pink-Fives & Cocoa Rainbow (5 Suits)	1216
Muddy-Rainbow-Fives & Omni (3 Suits)	1138
Muddy-Rainbow-Ones & Gray (5 Suits)	1052
Deceptive-Fives & White (3 Suits)	1748
Alternating Clues & Gray Pink (6 Suits)	1462
Rainbow-Ones & Dark Null (6 Suits)	324
Alternating Clues & Muddy Rainbow (6 Suits)	1270
Light-Pink-Fives & Gray (5 Suits)	1208
Deceptive-Fives & Dark Prism (5 Suits)	1790
Light-Pink-Fives & Omni (4 Suits)	1189
Extremely Ambiguous & Dark Null (6 Suits)	1419
Omni-Ones & Pink (4 Suits)	456
Muddy-Rainbow-Fives & Prism (3 Suits)	1632
Light-Pink-Fives & Light Pink (5 Suits)	1200
Deceptive-Fives & Muddy Rainbow (4 Suits)	1763
Null-Fives & Pink (5 Suits)	727
Extremely Ambiguous & Dark Rainbow (5 Suits)	1410
Brown-Fives & Light Pink (4 Suits)	981
Extremely Ambiguous & White (5 Suits)	1392
Muddy-Rainbow-Ones & Dark Rainbow (5 Suits)	1048
Light-Pink-Ones & Light Pink (6 Suits)	1095
Rainbow-Fives & Omni (5 Suits)	547
Pink-Fives & Gray Pink (5 Suits)	962
Muddy-Rainbow-Ones & Cocoa Rainbow (6 Suits)	1059
Deceptive-Fives & Null (5 Suits)	1758
Omni-Fives & Dark Null (6 Suits)	716
Muddy-Rainbow-Fives & Black (5 Suits)	1339
Omni-Ones & Dark Omni (6 Suits)	482
Alternating Clues & Dark Brown (6 Suits)	1454
Muddy-Rainbow-Ones & Dark Brown (5 Suits)	1054
Null-Ones & Muddy Rainbow (6 Suits)	927
Brown-Fives & Dark Rainbow (5 Suits)	667
Muddy-Rainbow-Fives & Omni (6 Suits)	1135
Brown-Fives & Dark Omni (5 Suits)	675
Deceptive-Ones & Null (6 Suits)	1697
Deceptive-Ones & Cocoa Rainbow (5 Suits)	1726
Alternating Clues & Gray (6 Suits)	1452
Omni-Ones & Cocoa Rainbow (6 Suits)	923
Alternating Clues & Dark Pink (6 Suits)	1450
Muddy-Rainbow-Fives & Prism (5 Suits)	1630
Null-Ones & Prism (6 Suits)	1575
Alternating Clues & Prism (4 Suits)	1654
Muddy-Rainbow-Fives & Gray Pink (5 Suits)	1166
Null-Fives & Dark Null (6 Suits)	756
Omni-Ones & Gray (6 Suits)	478
Null-Fives & Null (4 Suits)	744
Alternating Clues & Dark Null (6 Suits)	1458
Null-Ones & Gray (6 Suits)	518
Muddy-Rainbow-Fives & Light Pink (4 Suits)	1149
Extremely Ambiguous & Cocoa Rainbow (5 Suits)	1422
White-Ones & Dark Null (6 Suits)	404
Null-Ones & Rainbow (6 Suits)	490
Omni-Fives & Dark Brown (5 Suits)	713
Light-Pink-Fives & Gray Pink (6 Suits)	1217
Muddy-Rainbow-Ones & Dark Prism (6 Suits)	1585
Muddy-Rainbow-Fives & Dark Omni (6 Suits)	1159
Deceptive-Ones & Muddy Rainbow (4 Suits)	1703
Brown-Fives & Dark Omni (6 Suits)	674
Alternating Clues & Dark Null (5 Suits)	1459
Muddy-Rainbow-Fives & Dark Null (6 Suits)	1161
Rainbow-Fives & Dark Null (5 Suits)	565
Deceptive-Ones & Cocoa Rainbow (6 Suits)	1725
Alternating Clues & Brown (4 Suits)	1260
Brown-Fives & Null (3 Suits)	665
Muddy-Rainbow-Fives & Omni (4 Suits)	1137
Pink-Fives & Light Pink (3 Suits)	958
Pink-Fives & Muddy Rainbow (5 Suits)	952
Light-Pink-Fives & White (6 Suits)	1179
Null-Fives & Muddy Rainbow (6 Suits)	999
Deceptive-Fives & White (4 Suits)	1747
Brown-Fives & Omni (4 Suits)	660
White-Fives & Dark Omni (5 Suits)	635
Null-Fives & Gray (5 Suits)	751
Light-Pink-Fives & White (3 Suits)	1182
Extremely Ambiguous & Dark Brown (5 Suits)	1416
Deceptive-Fives & Dark Omni (5 Suits)	1782
Rainbow-Fives & Gray Pink (6 Suits)	949
Muddy-Rainbow-Fives & Cocoa Rainbow (6 Suits)	1163
Null-Fives & Pink (6 Suits)	726
Light-Pink-Ones & Null (6 Suits)	1087
Deceptive-Fives & Black (5 Suits)	1736
Deceptive-Ones & Dark Brown (6 Suits)	1719
Muddy Rainbow & Dark Null (5 Suits)	823
Rainbow-Fives & Muddy Rainbow (6 Suits)	939
Light-Pink-Fives & Omni (5 Suits)	1188
Omni-Ones & White (6 Suits)	458
Deceptive-Ones & Muddy Rainbow (5 Suits)	1702
Deceptive-Fives & Prism (4 Suits)	1771
Extremely Ambiguous & Dark Omni (5 Suits)	1418
White-Fives & Black (5 Suits)	1325
Null-Ones & Dark Pink (6 Suits)	516
Muddy-Rainbow-Fives & Null (3 Suits)	1142
