Suit	Count	%
Red	749583	18.28
Blue	746025	18.19
Green	733000	17.87
Yellow	688364	16.79
Purple	558957	13.63
Black	102216	2.49
Rainbow	101684	2.48
Teal	51457	1.25
White	46568	1.14
Pink	36359	0.89
Brown	31413	0.77
Dark Rainbow	24421	0.60
Prism	19145	0.47
Omni	16296	0.40
Null	15828	0.39
Gray	13563	0.33
Light Pink	11874	0.29
Muddy Rainbow	11028	0.27
Dark Pink	9788	0.24
Dark Brown	9281	0.23
Orange D2	9108	0.22
Dark Prism	8978	0.22
Cocoa Rainbow	7148	0.17
Dark Omni	7007	0.17
Gray Pink	6567	0.16
Green D	6430	0.16
Purple D	6430	0.16
Dark Null	6212	0.15
Tomato	4887	0.12
Mahogany	4887	0.12
Navy	4731	0.12
Sky	4731	0.12
Cardinal D	4593	0.11
Teal D	4593	0.11
Lime D	4593	0.11
Indigo D	4593	0.11
Lime	2212	0.05
Forest	2212	0.05
Navy D	1915	0.05
Mahogany D	1915	0.05
Orange D	1915	0.05
Tan D	1915	0.05
Ice EA	1244	0.03
Sapphire EA	1244	0.03
Berry EA	1244	0.03
Sky EA	1244	0.03
Berry VA	1177	0.03
Sky VA	1177	0.03
Navy VA	1177	0.03
Tomato VA	920	0.02
Ruby VA	920	0.02
Mahogany VA	920	0.02
Navy EA	914	0.02
Peach AD	663	0.02
Tangelo AD	663	0.02
Lime AD	663	0.02
Orchid AD	663	0.02
Violet AD	663	0.02
Forest AD	663	0.02
Ocean EA	350	0.01
