variant	count
No Variant	255495
Black (6 Suits)	36735
Rainbow (6 Suits)	36598
6 Suits	31048
Dark Rainbow (6 Suits)	9531
Black (5 Suits)	8509
Rainbow (5 Suits)	5378
4 Suits	5000
White Reversed (6 Suits)	4530
Special Mix (5 Suits)	4085
Pink (6 Suits)	3872
3 Suits	3707
Black & Rainbow (6 Suits)	3565
Up or Down (5 Suits)	3216
Brown (5 Suits)	3095
White (5 Suits)	2868
White (6 Suits)	2805
Dual-Color Mix	2791
Pink (5 Suits)	2748
Gray (6 Suits)	2383
Up or Down & Rainbow (6 Suits)	2372
Prism (6 Suits)	2197
Black & Rainbow (5 Suits)	2042
Brown (6 Suits)	2019
Omni (6 Suits)	2012
Null (6 Suits)	2009
Ambiguous (6 Suits)	1960
Black & Dark Rainbow (6 Suits)	1923
Black & White (6 Suits)	1910
Special Mix (6 Suits)	1878
Up or Down (6 Suits)	1777
Dual-Color (6 Suits)	1592
Null (5 Suits)	1569
Gray (5 Suits)	1502
Dark Rainbow (5 Suits)	1439
Rainbow (4 Suits)	1404
Dark Brown (6 Suits)	1305
Dark Pink (6 Suits)	1271
Omni (5 Suits)	1257
Prism (5 Suits)	1230
Dual-Color (5 Suits)	1227
Rainbow & White (6 Suits)	1153
Cocoa Rainbow (6 Suits)	1133
Dark Prism (6 Suits)	1130
Duck (5 Suits)	1095
Rainbow & Pink (6 Suits)	1082
Black & White (5 Suits)	1062
Rainbow (3 Suits)	991
Muddy Rainbow (6 Suits)	953
Black & Gray (6 Suits)	948
Prism & Dark Rainbow (6 Suits)	931
Dark Pink (5 Suits)	928
Pink (4 Suits)	916
Light Pink (6 Suits)	893
Gray Pink (6 Suits)	882
Dark Brown (5 Suits)	882
Clue Starved (6 Suits)	880
Dark Omni (6 Suits)	875
Throw It in a Hole (5 Suits)	871
Black & Pink (6 Suits)	865
Up or Down & Rainbow (5 Suits)	864
Black & Dark Pink (6 Suits)	856
Muddy Rainbow (5 Suits)	853
Pink (3 Suits)	835
Dark Prism (5 Suits)	831
Cocoa Rainbow (5 Suits)	828
Dark Null (5 Suits)	800
Black & Pink (5 Suits)	791
White (4 Suits)	787
Dark Null (6 Suits)	768
Very Ambiguous (6 Suits)	750
Clue Starved (5 Suits)	725
Gray Pink (5 Suits)	710
White (3 Suits)	705
Omni (3 Suits)	688
Light Pink (5 Suits)	684
Ambiguous Mix	673
Brown (4 Suits)	655
Reversed (5 Suits)	645
Black & Brown (6 Suits)	639
White & Dark Rainbow (6 Suits)	635
Black & Dark Brown (6 Suits)	628
Brown (3 Suits)	620
Null (4 Suits)	607
Black & Omni (5 Suits)	606
Ambiguous & Dual-Color	605
Black & Omni (6 Suits)	598
Black & Brown (5 Suits)	594
Rainbow & White (5 Suits)	564
Black & Prism (6 Suits)	549
Ambiguous (4 Suits)	537
Reversed (6 Suits)	520
Rainbow & Brown (5 Suits)	517
Dark Omni (5 Suits)	516
Cow & Pig (5 Suits)	500
Throw It in a Hole (6 Suits)	496
Rainbow & Gray (6 Suits)	479
Null (3 Suits)	477
Black & Null (5 Suits)	471
Prism (4 Suits)	468
Omni & Null (6 Suits)	465
Rainbow & Pink (5 Suits)	459
Black & Light Pink (6 Suits)	446
Black & Light Pink (5 Suits)	431
Black & Null (6 Suits)	422
Pink & Brown (6 Suits)	404
Dark Omni & Dark Null (6 Suits)	404
Muddy Rainbow (4 Suits)	400
Up or Down & Prism (6 Suits)	396
Pink & White (6 Suits)	392
Rainbow & Brown (6 Suits)	391
Omni (4 Suits)	390
Pink & Brown (5 Suits)	384
Dual-Color & Rainbow (6 Suits)	374
Black & Prism (5 Suits)	372
Black & Muddy Rainbow (5 Suits)	370
Up or Down & White (5 Suits)	353
Dark Pink & Gray (6 Suits)	352
Rainbow & Dark Pink (6 Suits)	348
Alternating Clues (5 Suits)	327
Light Pink (4 Suits)	325
Duck (3 Suits)	325
Throw It in a Hole (4 Suits)	323
Black Reversed (6 Suits)	322
Rainbow & Gray (5 Suits)	319
Black & Muddy Rainbow (6 Suits)	317
Dark Pink & Dark Brown (6 Suits)	316
Brown & Omni (6 Suits)	316
Prism (3 Suits)	315
White & Brown (6 Suits)	307
Rainbow & Omni (6 Suits)	305
Rainbow & Null (6 Suits)	304
Light Pink (3 Suits)	304
Rainbow & Prism (6 Suits)	302
Pink & Dark Omni (6 Suits)	300
White & Prism (6 Suits)	300
Dual-Color (3 Suits)	298
Rainbow & Dark Pink (5 Suits)	296
Muddy Rainbow (3 Suits)	296
Pink & White (5 Suits)	292
Rainbow & Prism (5 Suits)	291
Rainbow & Dark Brown (5 Suits)	284
Dark Rainbow & Dark Pink (6 Suits)	276
Rainbow-Ones (5 Suits)	276
Duck (6 Suits)	275
Rainbow & Dark Brown (6 Suits)	270
Rainbow Reversed (5 Suits)	269
Pink & Gray (6 Suits)	269
Up or Down & White (6 Suits)	266
Extremely Ambiguous (6 Suits)	258
Color Blind (6 Suits)	250
Duck (4 Suits)	248
White Reversed (5 Suits)	244
Rainbow & Light Pink (6 Suits)	243
Rainbow & Dark Prism (6 Suits)	242
Rainbow & Brown (4 Suits)	241
Pink & Dark Rainbow (6 Suits)	240
Up or Down & Pink (5 Suits)	240
Up or Down & Pink (6 Suits)	240
Black & Gray Pink (6 Suits)	239
Black & Dark Omni (6 Suits)	239
White & Prism (5 Suits)	238
Pink & Prism (6 Suits)	237
White & Brown (5 Suits)	232
Pink & Omni (6 Suits)	232
Up or Down & Prism (5 Suits)	232
Rainbow & Cocoa Rainbow (6 Suits)	229
Gray & Gray Pink (6 Suits)	229
Dark Brown & Dark Prism (6 Suits)	228
Rainbow-Ones (6 Suits)	222
Totally Blind (6 Suits)	218
White & Dark Brown (6 Suits)	217
Pink & Omni (5 Suits)	216
Extremely Ambiguous (5 Suits)	213
Up or Down & Omni (6 Suits)	211
Rainbow & Pink (3 Suits)	210
Black & Dark Null (6 Suits)	208
Ambiguous & White (5 Suits)	207
Dual-Color & Black (6 Suits)	206
Ambiguous & Rainbow (5 Suits)	205
Black & Dark Prism (6 Suits)	204
Brown & Gray (5 Suits)	203
Pink & Brown (4 Suits)	202
Rainbow & Brown (3 Suits)	201
Dark Rainbow Reversed (6 Suits)	200
Rainbow & White (4 Suits)	200
Pink-Ones & Gray Pink (5 Suits)	200
Black Reversed (5 Suits)	199
Rainbow & Dark Omni (6 Suits)	198
Pink & Prism (5 Suits)	195
Rainbow & Prism (4 Suits)	195
Dual-Color & Dark Rainbow (6 Suits)	195
Brown & Gray (6 Suits)	194
Rainbow Reversed (6 Suits)	193
Gray Reversed (5 Suits)	192
White-Ones (5 Suits)	192
Cow & Pig (6 Suits)	192
Deceptive-Ones (5 Suits)	191
Rainbow & White (3 Suits)	191
White & Dark Brown (5 Suits)	190
White-Fives & Dark Null (5 Suits)	186
Rainbow & Gray Pink (6 Suits)	182
Rainbow & Omni (5 Suits)	182
White & Dark Pink (6 Suits)	180
Dual-Color & Rainbow (4 Suits)	179
Pink & Dark Prism (5 Suits)	178
Up or Down & Brown (6 Suits)	178
Dark Prism Reversed (5 Suits)	175
Rainbow-Ones & Black (5 Suits)	175
White & Dark Prism (5 Suits)	175
Rainbow & Dark Null (6 Suits)	175
Rainbow & Pink (4 Suits)	175
Up or Down & Omni (5 Suits)	174
Brown & Dark Rainbow (6 Suits)	173
Pink-Fives (5 Suits)	171
Alternating Clues (6 Suits)	171
Cow & Pig (4 Suits)	169
Pink & Gray (5 Suits)	169
Pink & Omni (4 Suits)	168
Reversed (4 Suits)	167
Brown & Dark Pink (5 Suits)	164
Pink & Brown (3 Suits)	164
Omni & Dark Rainbow (6 Suits)	164
Gray Reversed (6 Suits)	164
Omni & Null (3 Suits)	164
Pink & Null (5 Suits)	163
Cow & Pig (3 Suits)	159
Pink & White (4 Suits)	158
Brown & Muddy Rainbow (5 Suits)	157
Rainbow & Dark Prism (5 Suits)	157
