player	6 Suits	5 Suits	4 Suits	3 Suits
ADrone	553	546	103	54
asaelr	2751	1680	359	208
Bot-Fiora	593	528	123	77
Dr_Kakashi	2678	1852	517	509
eliclax	830	617	118	105
Fireheart	1669	1426	382	315
Floriman	1903	1528	226	152
florrat2	1348	323	58	70
IAMJEFF	1905	1136	456	441
indego	2165	1662	204	139
kimbifille	2726	1743	447	246
Kyle	3088	2799	594	310
Lanvin	4878	3752	999	515
Lel0uch	3509	2053	319	61
Libster	1746	802	209	147
MarkusKahlsen	2082	1666	270	121
melwen	4200	3252	469	204
micerang	1845	1452	456	219
nitawa	833	984	66	81
Nitrate	574	436	121	132
Pablo-	1376	1437	150	99
padi	353	422	69	35
pianoblook	2044	1648	312	211
piper	990	736	162	142
RaKXeR	968	390	123	62
scharkbite	3274	2461	559	281
sin_faith	1234	1205	119	85
sjdrodge	1009	1043	1515	268
timotree	885	822	107	40
Valetta6789	1381	920	228	176
Zamiel	3423	1369	491	447
