Player	2p	3p	4p	5p	6p	Total scores
Lanvin	1460	974	720	315	90	3559
Lel0uch	641	427	361	184	49	1662
kimbifille	543	501	325	141	34	1544
melwen	261	354	546	217	57	1435
IAMJEFF	590	361	232	71	20	1274
Valetta6789	743	231	164	50	11	1199
Fireheart	640	284	146	53	14	1137
MarkusKahlsen	213	420	324	123	16	1096
Kyle	224	367	308	145	42	1086
Dr_Kakashi	403	293	219	91	31	1037
indego	469	197	170	115	34	985
pianoblook	248	359	228	104	31	970
Pablo-	361	220	195	85	41	902
scharkbite	125	244	276	98	39	782
asaelr	148	288	204	100	32	772
Zamiel	186	248	209	70	17	730
nitawa	362	166	103	47	18	696
piper	185	250	130	54	21	640
Floriman	50	211	217	115	32	625
micerang	106	188	181	80	20	575
VerySloppyTwo	300	84	84	41	10	519
ADrone	239	106	75	44	11	475
eliclax	59	155	118	45	15	392
sin_faith	36	102	140	79	29	386
timotree	119	98	99	43	19	378
sjdrodge	35	119	103	38	11	306
Nitrate	42	99	99	51	10	301
Libster	71	95	76	29	13	284
Bot-Fiora	7	70	84	36	11	208
florrat2	52	64	48	19	8	191
RaKXeR	24	51	47	21	6	149
padi	23	43	45	23	12	146
rinka	0	19	11	0	0	30
