Player	Ratio	Alice's wins	Num games being Alice	!Alice's wins	Num games not being Alice
pianoblook	1.42	335	1233	686	3593
florrat2	1.4	155	561	366	1853
sjdrodge	1.34	414	1180	1009	3849
Kyle	1.31	366	1737	946	5889
Libster	1.3	242	942	574	2894
micerang	1.3	289	1003	750	3390
IAMJEFF	1.27	425	2283	709	4838
Lanvin	1.27	598	2698	1298	7410
Lel0uch	1.26	762	3535	1258	7382
rinka	1.25	12	64	28	187
VerySloppyTwo	1.23	212	975	374	2114
MarkusKahlsen	1.21	209	793	579	2663
sin_faith	1.2	100	567	324	2201
asaelr	1.19	393	1589	916	4425
Floriman	1.17	194	829	636	3179
melwen	1.16	523	2520	1363	7632
Zamiel	1.15	367	2292	924	6638
eliclax	1.15	57	263	160	847
timotree	1.14	239	981	491	2296
RaKXeR	1.13	103	485	280	1486
Valetta6789	1.11	427	1784	906	4215
nitawa	1.08	166	736	359	1720
Dr_Kakashi	1.02	431	3030	970	6950
Nitrate	1.02	50	229	195	907
scharkbite	1.02	366	1945	1018	5493
kimbifille	1.01	379	2307	881	5397
indego	1.0	352	2724	701	5441
padi	1.0	47	254	170	921
ADrone	0.99	162	663	379	1539
Bot-Fiora	0.99	24	135	115	640
Pablo-	0.99	242	1102	610	2749
Fireheart	0.98	443	2789	968	5997
piper	0.94	184	776	486	1927
