Player	Ratio	Alice's wins	Num games being Alice	!Alice's wins	Num games not being Alice
Fireheart	1.25	505	2694	197	1317
kimbifille	1.18	570	2651	223	1225
MarkusKahlsen	1.14	258	1024	344	1561
IAMJEFF	1.08	431	2350	135	796
Lanvin	1.06	485	2664	608	3528
padi	1.01	76	415	117	647
scharkbite	0.98	574	3137	615	3303
Lel0uch	0.98	431	2291	487	2546
melwen	0.97	510	2916	778	4301
RaKXeR	0.94	125	655	224	1102
Dr_Kakashi	0.93	487	3060	408	2375
sjdrodge	0.92	387	1527	801	2901
Libster	0.92	317	1616	361	1693
micerang	0.91	251	1167	643	2723
VerySloppyTwo	0.91	104	723	125	790
sin_faith	0.9	145	1016	244	1531
asaelr	0.89	467	2305	569	2508
indego	0.88	234	1889	286	2036
Kyle	0.87	516	3181	526	2807
Floriman	0.85	431	2235	327	1445
pianoblook	0.83	397	2166	348	1570
Valetta6789	0.81	400	1904	193	748
florrat2	0.75	187	1044	235	980
ADrone	0.74	118	586	156	573
piper	0.72	270	1257	196	660
Bot-Fiora	0.72	8	61	122	669
timotree	0.71	125	734	297	1233
Nitrate	0.6	39	267	171	702
Zamiel	0.47	576	4840	532	2079
