Player	Count	Start game_id
Zamiel	124	585528
IAMJEFF	95	79900
Dr_Kakashi	87	305002
indego	73	588275
Lel0uch	73	503003
kimbifille	70	200827
Fireheart	68	79900
sin_faith	63	716953
melwen	59	542620
Valetta6789	54	584360
Lanvin	49	461725
TimeHoodie	49	179466
eliclax	42	411287
florrat2	42	67077
asaelr	41	65359
Floriman	41	59322
pianoblook	41	86298
Kyle	40	69196
Kyle	40	585334
Kyle	40	131130
Libster	39	130534
DMoney	38	273616
Pablo-	38	619842
scharkbite	38	300945
RaKXeR	34	64608
timotree	33	347298
nitawa	32	708041
sjdrodge	32	44813
Bot-Fiora	31	759989
MarkusKahlsen	31	120486
MarkusKahlsen	31	473469
padi	31	246153
micerang	27	38254
piper	27	204955
piper	27	247601
ADrone	23	274330
ADrone	23	89836
ADrone	23	93761
Nitrate	23	652671
