Team	WR	Total games
CptAggro, efaust, sjdrodge	79.69	115
jmrtz, micerang	77.38	149
asaelr, Floriman, scharkbite, Valetta6789	72.41	50
dobi, scharkbite	67.57	62
beri, Lel0uch	66.67	50
efaust, fuckthiswebsite, sjdrodge	66.67	95
efaust, micerang, paulcd2000, sjdrodge	65.62	53
Libster, Valetta6789	65.38	86
florrat2, lord_farin	61.29	50
florrat2, Libster, NoMercy, sjdrodge	59.46	59
florrat2, Libster, Zamiel	59.02	97
efaust, fuckthiswebsite, paulcd2000, sjdrodge	53.12	98
Lel0uch, squirrel1988	51.38	165
kimbifille, Valetta6789	51.16	195
asaelr, Floriman, scharkbite	51.11	68
Kyle, micerang, Zamiel	50.0	60
hakha3, Valetta6789	50.0	66
maddogmarv, piper	46.55	85
efaust, Feer, sjdrodge	46.34	60
florrat2, Libster	45.61	83
ADrone, fishcat, Huxley	43.59	56
Floriman, Kyle	43.59	56
kimbifille, piper	42.5	114
Fey, kimbifille, kooolant	40.91	62
Fey, MarkusKahlsen	40.91	62
Fireheart, Kyle, Valetta6789	40.82	69
Lanvin, Valetta6789	40.61	277
Jake_Stiles, Kyle	40.54	52
Fellatiowned, sjdrodge	40.54	52
ADrone, kimbifille, pianoblook, piper	40.48	59
bcannon, maddogmarv, piper	39.53	60
efaust, kemurphy, paulcd2000, sjdrodge	38.3	65
asaelr, Fireheart, Valetta6789	38.1	87
efaust, fuckthiswebsite, kemurphy, sjdrodge	37.84	51
IAMJEFF, kimbifille	36.8	171
kimbifille, pianoblook, piper	36.5	531
ADrone, pianoblook	35.86	860
Lanvin, rahsosprout	34.69	66
merlinworks3636, timotree	34.68	233
ADrone, fishcat, pianoblook	33.85	174
bcannon, piper	33.83	356
antitelharsic, nitawa, Pablo-	33.78	99
asaelr, Kyle	33.33	64
IAMJEFF, scharkbite	33.33	88
efaust, paulcd2000, sjdrodge	32.95	351
Anax, melwen, Ntalakas, ntinta	32.53	110
indego, Lel0uch, melwen	32.5	53
melwen, Ntalakas, Takis	32.32	131
Lanvin, VerySloppyTwo	31.91	1050
Lel0uch, timotree	31.25	84
ihavenoidea, VerySloppyTwo	30.92	326
Lel0uch, melwen	30.89	1801
MarkusKahlsen, rachyrules	30.77	51
Dr_Kakashi, RaKXeR	30.51	77
nitawa, Pablo-	30.38	1073
asaelr, Dr_Kakashi	30.23	56
Jillb363636, timotree	29.94	204
Fey, sin_faith	29.82	74
melwen, soulampoula	29.27	53
efaust, kemurphy, sjdrodge	29.24	442
HelanaAshryvr, Lel0uch	29.17	62
melwen, timotree	29.03	120
melwen, Ntalakas, ntinta	28.79	85
asaelr, Fireheart	28.07	146
kimbifille, kooolant	27.78	138
Lanvin, macanek	27.45	130
Fey, Lel0uch	26.83	104
Fedorov, geor1983, melwen	25.88	107
Anax, melwen	25.81	117
blindedot, rinka, Ryder	25.81	78
Fireheart, Valetta6789	25.71	1765
melwen, Ntalakas, ntinta, Takis	25.47	1069
boba, Lel0uch	25.17	184
efaust, sjdrodge	25.0	95
asaelr, IAMJEFF	24.43	219
antitelharsic, jack67889, nitawa, Pablo-	24.39	51
IAMJEFF, Valetta6789	24.07	469
efaust, forgotmyacct, sjdrodge	24.0	93
Durandal, Lanvin	23.83	556
Fireheart, kopen	23.81	52
Livia, Valetta6789	23.4	116
Kyle, Lanvin	23.26	53
pianoblook, piper	23.21	69
BlueNovember, Nitrate	23.19	85
frosty104, Lel0uch	22.86	86
Fireheart, IAMJEFF, Valetta6789	22.64	130
Libster, Zamiel	22.22	77
Lel0uch, MarkusKahlsen	22.03	432
Dr_Kakashi, IAMJEFF	21.94	678
dobi, indego	21.57	62
Lanvin, robense	21.31	148
HelanaAshryvr, timotree	21.15	63
Kyle, scharkbite	20.97	75
Fireheart, scharkbite	20.83	87
Fireheart, IAMJEFF, Livia	20.75	64
HelanaAshryvr, Lanvin	20.18	137
blindedot, bookstore44, rinka, Ryder	20.0	72
Lanvin, squirrel1988	19.66	213
Ahming, Zamiel	19.64	67
Fey, kimbifille	19.61	122
IAMJEFF, Livia	19.42	123
ADrone, fishcat, Huxley, pianoblook	18.75	76
Dr_Kakashi, invarse	18.6	204
Fireheart, kimbifille	18.52	64
ADrone, fishcat	18.46	77
Dr_Kakashi, IAMJEFF, Valetta6789	17.91	79
DMoney, Kyle	17.74	73
Andrew_UK, scharkbite	17.19	75
Dr_Kakashi, Livia	17.18	191
Fedorov, melwen	17.01	172
Dr_Kakashi, Kyle	16.98	62
Fireheart, Livia	16.75	230
asaelr, Fireheart, IAMJEFF	16.67	56
florrat2, Zamiel	16.67	119
Lanvin, Wittvector	16.35	121
Floriman, Livia	16.13	108
DMoney, Fireheart, Zamiel	15.22	53
micerang, Zamiel	15.15	76
derekcheah, Lel0uch	14.51	292
Fireheart, Kyle	14.29	120
indego, Lel0uch	14.15	2363
efaust, fuckthiswebsite, kemurphy, paulcd2000, sjdrodge	13.64	50
DMoney, Dr_Kakashi	13.11	69
IAMJEFF, kopen	13.11	69
Artificial, piper	13.04	78
Dr_Kakashi, Fireheart	12.87	114
aquarelle, Lanvin	12.87	114
Fireheart, Zamiel	12.86	237
indego, TheDaniMan	12.44	1130
IAMJEFF, Zamiel	12.38	118
Cory, Zamiel	11.11	120
DMoney, Dr_Kakashi, kimbifille	10.14	76
Jake_Stiles, Zamiel	10.0	99
Dr_Kakashi, Floriman, kimbifille	9.86	78
melwen, scharkbite	9.68	102
Fireheart, IAMJEFF	9.43	1695
Dr_Kakashi, indego	7.27	59
NoMercy, Zamiel	7.14	135
Dr_Kakashi, kimbifille	6.96	2537
Kyle, Zamiel	6.85	78
melwen, squirrel1988	5.56	133
Valetta6789, Zamiel	4.2	124
kimbifille, Zamiel	3.95	79
sephiroth, VerySloppyTwo	3.3	94
indego, Zamiel	0.0	68
