player	teammate	wr	wins	games
ADrone	sjdrodge	37.5	24	64
ADrone	Kyle	31.68	51	161
ADrone	kimbifille	28.8	53	184
ADrone	Floriman	28.57	22	77
ADrone	piper	28.48	47	165
ADrone	ADrone	26.43	407	1540
ADrone	MarkusKahlsen	25.4	16	63
ADrone	fishcat	25.29	88	348
ADrone	pianoblook	22.17	133	600
ADrone	scharkbite	21.88	14	64
ADrone	DMoney	21.13	15	71
ADrone	Huxley	20.77	38	183
ADrone	TimeHoodie	19.7	13	66
ADrone	Zamiel	10.39	8	77
asaelr	macanek	31.37	16	51
asaelr	Fey	30.13	47	156
asaelr	bjnh	29.31	17	58
asaelr	frosty104	27.78	15	54
asaelr	jack67889	27.05	33	122
asaelr	kimbifille	27.03	30	111
asaelr	Valetta6789	27.02	127	470
asaelr	hanabornoob	26.67	16	60
asaelr	Tailz	26.56	17	64
asaelr	ReaverSe	25.93	14	54
asaelr	sin_faith	25.52	37	145
asaelr	ChristopheAF	25.4	32	126
asaelr	micerang	24.44	110	450
asaelr	Pablo-	23.75	38	160
asaelr	Bonja97	23.73	14	59
asaelr	Göttertöter	23.64	13	55
asaelr	Floriman	23.56	156	662
asaelr	honzas	23.39	29	124
asaelr	Lanvin	23.15	128	553
asaelr	TimeHoodie	23.12	43	186
asaelr	MangoPie	22.97	17	74
asaelr	aitch2	22.81	13	57
asaelr	scharkbite	22.65	130	574
asaelr	Nitrate2	22.56	30	133
asaelr	TheDaniMan	22.54	32	142
asaelr	Maiorskills	22.54	16	71
asaelr	dobi	22.35	19	85
asaelr	Wittvector	22.3	31	139
asaelr	MarkusKahlsen	22.29	39	175
asaelr	Fireheart	21.97	136	619
asaelr	asaelr	21.64	1244	5749
asaelr	kevincaseytdk1	21.57	11	51
asaelr	padi	21.49	26	121
asaelr	DarthGandalf	21.31	13	61
asaelr	Sturm	20.69	12	58
asaelr	Dr_Kakashi	20.65	147	712
asaelr	Sucubis	20.6	48	233
asaelr	ace201	20.59	14	68
asaelr	derekcheah	20	19	95
asaelr	plus	18.92	21	111
asaelr	Lel0uch	18.85	23	122
asaelr	IAMJEFF	18.58	84	452
asaelr	timotree	18.52	10	54
asaelr	Kyle	18.47	116	628
asaelr	melwen	18.32	35	191
asaelr	swineherd	18.31	26	142
asaelr	Libster	18.31	26	142
asaelr	Livia	18.21	51	280
asaelr	jeff10	17.65	9	51
asaelr	Ahming	17.24	15	87
asaelr	will.i.am	16.98	9	53
asaelr	pianoblook	16.95	20	118
asaelr	Jake_Stiles	16.94	31	183
asaelr	RaKXeR	16.88	13	77
asaelr	Zakisan	16.84	16	95
asaelr	robense	16.52	19	115
asaelr	qqqq	16.46	13	79
asaelr	Romain672	16.43	35	213
asaelr	arv	16.05	13	81
asaelr	sephiroth	15.74	37	235
asaelr	indego	15.38	14	91
asaelr	HelanaAshryvr	15	15	100
asaelr	letical	15	9	60
asaelr	invarse	14.29	9	63
asaelr	joelwool	14.29	12	84
asaelr	kodomazer	14.29	12	84
asaelr	kopen	14.29	14	98
asaelr	DMoney	13.03	34	261
asaelr	Zamiel	12.66	51	403
asaelr	newsun	12.66	10	79
asaelr	Onen	12.5	7	56
asaelr	Cory	12.28	14	114
asaelr	awe	11.02	14	127
asaelr	lotem	9.2	8	87
asaelr	newduke	9.18	19	207
Bot-Fiora	HelanaAshryvr	26.09	18	69
Bot-Fiora	louietyj	25.86	15	58
Bot-Fiora	wump	20.75	11	53
Bot-Fiora	Lanvin	20.69	24	116
Bot-Fiora	ReaverSe	20	23	115
Bot-Fiora	dobi	19.4	13	67
Bot-Fiora	griff77	17.21	74	430
Bot-Fiora	Bot-Fiora	16.81	242	1440
Bot-Fiora	rahsosprout	15.79	12	76
Bot-Fiora	possum	14.71	10	68
Bot-Fiora	indego	14.29	8	56
Bot-Fiora	4head	13.92	11	79
Bot-Fiora	newsun	13.92	11	79
Bot-Fiora	ksfortson	13.68	13	95
Bot-Fiora	ace201	13.48	12	89
Bot-Fiora	IsabeltheCat	13.33	8	60
Bot-Fiora	joelw	11.27	8	71
Bot-Fiora	Fafrd	9.09	5	55
Bot-Fiora	newduke	8.28	40	483
