Username	W(%)	Total games
MathNoob	30.26	76
Cynas	26.67	30
sjdrodge	24.76	3247
dmigor3	24.49	147
piper	24.29	2174
wolfpack	24.12	228
corys	23.76	202
anser	23.53	1054
Fey	23.5	2613
rkass	23.47	1325
micerang	23.02	3210
Syrah	22.88	660
ADrone	22.26	1568
Smandon	22.1	267
wortel	21.85	595
wump	21.75	1306
Valetta6789	21.38	4934
MasN	21.19	236
Nitrate2	21.18	1572
avanderwalde	21.06	1496
Pablo-	21.05	2565
MarkusKahlsen	20.98	2302
hakha3	20.89	943
qwertyelmer	20.88	297
rachyrules	20.87	896
asaelr	20.46	4033
nitawa	20.26	1387
colton	20.17	590
Nitrate	20.12	507
emilyzhao	20.06	982
Daryl	20.0	135
rz	19.8	1429
aquarelle	19.73	745
jack67889	19.55	1473
Floriman	19.18	3175
sankala	19.17	120
Sucubis	19.05	1690
orucsoraihc	19.05	777
Zakisan	19.05	714
qqqq	18.76	890
pianoblook	18.74	3500
BlueNovember	18.69	883
vEnhance	18.62	478
derekcheah	18.54	2497
bjnh	18.36	1024
eliclax	18.25	285
Damian000	18.18	99
TimeHoodie	18.11	3429
possum	18.03	588
fishcat	17.92	558
dobi	17.77	1452
MangoPie	17.26	1373
timotree	17.1	1351
cockdestroyer	17.02	952
florrat2	16.97	1432
Div	16.96	460
DarthGandalf	16.93	313
Kernel	16.92	260
Wittvector	16.83	2014
Pimak	16.72	305
scharkbite	16.72	5562
kopen	16.72	1304
Libster	16.69	2456
Bonja97	16.65	1153
padi	16.54	810
melwen	16.54	5854
Bot-Fiora	16.43	420
invarse	16.39	1184
Lanvin	16.22	5006
Livia	16.1	3055
Kyle	16.05	5657
Denchulitas	16.02	512
StKildaFan	15.95	1649
boba	15.94	1054
IAMJEFF	15.86	6424
swineherd	15.86	1305
Asddsa76	15.68	555
antitelharsic	15.63	1254
skyblueexo	15.59	372
ksfortson	15.56	797
sephiroth	15.48	3399
TheDaniMan	15.42	4370
Lel0uch	15.41	6190
ChristopheAF	15.36	1758
Fireheart	15.36	8053
willwin4sure	15.34	1056
Jake_Stiles	15.27	3176
HelanaAshryvr	15.26	3697
Animex52	15.07	710
NoMercy	15.02	1112
nkkarpov	14.82	533
Spieler42	14.65	430
katian	14.41	819
kimbifille	14.37	6269
sin_faith	14.37	1830
Aluap	14.3	902
rs1	14.22	225
Instantiation	14.17	240
IsabeltheCat	14.07	1151
RaKXeR	14.03	991
Razvogor	13.92	776
dj.narayanan	13.62	1461
VerySloppyTwo	13.57	1407
jeff10	13.54	1285
Dr_Kakashi	13.44	7934
methmatics	13.35	412
duckless	13.27	226
duckmammal	13.21	477
FerKeth	12.78	180
HariKrishnan	12.7	63
catula	12.64	728
Durandal	12.54	2264
squirrel1988	11.92	1460
Zamiel	11.42	6752
will.i.am	11.29	1665
newduke	11.06	2242
duckmedic	10.8	176
indego	10.76	5280
Anax	10.34	29
CaitlinSmith	10.13	464
duckington	5.88	119
